区域,小区名称,房屋户型,面积,朝向,楼层,电梯,租金
房山,行宫园三里,3室1厅1卫,81㎡,南北,低楼层/6层,无,2200
海淀,门头馨村,1室1厅1卫,60㎡,南,高楼层/4层,无,4200
通州,西营前街,1室1厅1卫,27㎡,北,低楼层/6层,无,2100
房山,宜春里,3室1厅1卫,69㎡,南北,中楼层/6层,无,2600
朝阳,红松园1号院,2室1厅1卫,57㎡,南北,高楼层/6层,无,4300
朝阳,首都机场南路西里,2室1厅1卫,56㎡,南北,中楼层/5层,无,4100
房山,花园巷小区,2室1厅1卫,72㎡,南北,高楼层/6层,无,2600
顺义,石园西区,2室1厅1卫,58㎡,南北,中楼层/6层,无,2900
朝阳,周庄嘉园6号院,1室1厅1卫,56㎡,南,高楼层/28层,有,4500
朝阳,金星小区,2室1厅1卫,58㎡,南北,高楼层/6层,无,4500
海淀,凯盛家园,1室1厅1卫,61㎡,南,中楼层/15层,无,3700
西城,建功北里,1室1厅1卫,48㎡,南,低楼层/6层,无,4800
朝阳,金星小区,1室1厅1卫,51㎡,西,高楼层/6层,无,4100
朝阳,电建北院,2室1厅1卫,58㎡,南,高楼层/5层,无,5000
朝阳,八里庄北里小区,1室1厅1卫,42㎡,南,高楼层/6层,无,4800
朝阳,定福庄西街,1室1厅1卫,52㎡,南,低楼层/18层,有,4300
东城,东花市北里中区,1室1厅1卫,49㎡,东,高楼层/6层,无,5200
朝阳,安华里社区,1室1厅1卫,44㎡,西,中楼层/6层,无,4500
朝阳,朝丰家园,2室1厅1卫,78㎡,南北,中楼层/18层,有,4100
朝阳,乐栋300,2房间1卫,41㎡,东南,高楼层/4层,有,4500
朝阳,南沙滩小区,1室1厅1卫,40㎡,东,中楼层/6层,无,5000
朝阳,管庄西里,2室1厅1卫,60㎡,南北,中楼层/6层,无,4500
房山,房山超级蜂巢,1室1厅1卫,73㎡,西,高楼层/3层,有,2600
海淀,北京地球站院内西宿舍楼,2室1厅1卫,59㎡,东南北,高楼层/2层,无,3500
顺义,仓上小区,2室1厅1卫,60㎡,南北,高楼层/6层,无,3000
亦庄开发区,新海南里,1室1厅1卫,67㎡,南北,高楼层/6层,无,3200
顺义,浅山香邑,2室1厅1卫,88㎡,南北,高楼层/12层,有,2400
朝阳,康静里,2室1厅1卫,60㎡,南北,高楼层/6层,无,4100
丰台,天骄俊园8号院,1室1厅1卫,57㎡,南,低楼层/13层,有,3500
西城,熔炼厂宿舍,1室1厅1卫,48㎡,南,高楼层/6层,无,4400
朝阳,朝丰家园,2室1厅1卫,74㎡,南北,低楼层/13层,有,4600
朝阳,红松园小区,3室1厅1卫,68㎡,南北,中楼层/6层,无,5000
房山,明源北里,3室1厅1卫,88㎡,南北,高楼层/6层,无,2200
东城,华龙美晟,1室1厅1卫,45㎡,南,高楼层/12层,有,5200
朝阳,远洋一方润园6号院,1室1厅1卫,55㎡,南,中楼层/15层,有,4100
石景山,模式口西里,2室1厅1卫,64㎡,南,低楼层/14层,有,3600
西城,右安门内西街甲2号院,1室1厅1卫,42㎡,南,中楼层/6层,无,4800
朝阳,远洋一方润园6号院,2室1厅1卫,75㎡,东西,低楼层/15层,有,5000
朝阳,五建小区,1室1厅1卫,44㎡,南,中楼层/6层,无,3950
顺义,建新南区,2室1厅1卫,52㎡,西北,中楼层/6层,无,2900
门头沟,桥东街小区,1室1厅1卫,45㎡,南,中楼层/6层,无,2500
朝阳,东泽园,2室1厅1卫,75㎡,南,中楼层/21层,有,4900
顺义,馨港庄园三区,2室2厅1卫,87㎡,南北,高楼层/6层,无,3000
昌平,土沟新村,1室1厅1卫,54㎡,南北,高楼层/5层,无,2500
大兴,联港嘉园A区,2室1厅1卫,87㎡,南,低楼层/6层,有,3000
顺义,裕龙四区,2室1厅1卫,72㎡,南北,中楼层/6层,无,3100
丰台,张仪村4号院,1室1厅1卫,61㎡,南北,低楼层/6层,无,3500
朝阳,吕营嘉园C区,1室1厅1卫,60㎡,南北,低楼层/6层,无,4300
顺义,石园东苑,1室1厅1卫,73㎡,南北,低楼层/6层,无,2900
顺义,樱花园三区,1室1厅1卫,66㎡,南北,中楼层/6层,无,3000
东城,九道湾北巷,2室1厅1卫,35㎡,南,低楼层/1层,无,4500
顺义,石园西区,2室1厅1卫,69㎡,南北,中楼层/6层,无,3100
顺义,石园西区,1室1厅1卫,59㎡,南北,中楼层/6层,无,2800
顺义,马坡花园二区,2室1厅1卫,85㎡,南北,中楼层/5层,无,3000
顺义,交通局家属楼,2室1厅1卫,57㎡,东西,低楼层/6层,无,3100
东城,兴隆都市馨园,1室0厅1卫,29㎡,东,中楼层/7层,有,4000
东城,东方财富,1室0厅1卫,45㎡,东,中楼层/15层,有,5500
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2500
朝阳,烟厂宿舍,2室1厅1卫,66㎡,南北,中楼层/7层,无,4800
顺义,滨河小区,2室1厅1卫,73㎡,南北,高楼层/6层,无,3000
顺义,滨河小区,1室1厅1卫,60㎡,南北,高楼层/6层,无,2800
朝阳,松榆西里,2室1厅1卫,47㎡,西,高楼层/20层,有,5200
大兴,隆盛园,3室2厅2卫,108㎡,南北,高楼层/6层,无,2500
顺义,馨港庄园三区,2室1厅1卫,63㎡,南北,高楼层/6层,无,3000
昌平,温泉花园A区,2室1厅1卫,64㎡,南北,中楼层/5层,无,2800
朝阳,松榆西里,2室0厅1卫,59㎡,南,低楼层/18层,有,5000
朝阳,弘善家园,1室0厅1卫,43㎡,南,高楼层/28层,有,4600
石景山,铸造村,1室1厅1卫,69㎡,南,低楼层/16层,有,3700
朝阳,金星小区,2室1厅1卫,52㎡,南北,中楼层/5层,无,4900
朝阳,金星小区,2室1厅1卫,57㎡,南北,中楼层/6层,无,4800
东城,青年湖东里,1室1厅1卫,62㎡,南,地下室/6层,无,4600
东城,安德路55号院,1室1厅1卫,64㎡,北,高楼层/4层,无,5000
朝阳,金隅康惠园3号院,2室1厅1卫,80㎡,南北,中楼层/20层,有,5000
朝阳,华威西里,1室1厅1卫,36㎡,南,,无,5000
房山,房山超级蜂巢,2房间1卫,40㎡,南,低楼层/10层,有,2300
海淀,北分厂,2室1厅1卫,54㎡,南北,低楼层/6层,无,4300
西城,平原里小区,1室1厅1卫,54㎡,南北,地下室/6层,无,4800
朝阳,鸿博家园一期B区,2室1厅1卫,85㎡,南北,高楼层/5层,无,4700
朝阳,康家园,1室1厅1卫,43㎡,南,中楼层/6层,无,4700
朝阳,管庄东里,2室1厅1卫,73㎡,南北,中楼层/6层,无,4600
丰台,东高地,2室1厅1卫,56㎡,南,高楼层/6层,无,3600
朝阳,呼家楼新街大院,1室1厅1卫,45㎡,南,低楼层/18层,有,5000
朝阳,鸿博家园一期B区,2室1厅1卫,81㎡,南北,高楼层/8层,无,4500
朝阳,酒仙桥二街坊,2室1厅1卫,49㎡,东西,低楼层/5层,无,4700
朝阳,柏林爱乐二期,1室1厅1卫,60㎡,西南,低楼层/24层,有,5000
朝阳,松榆西里,1室1厅1卫,47㎡,东西,低楼层/6层,无,4800
海淀,梅园,1室1厅1卫,50㎡,南,高楼层/6层,无,4500
朝阳,远洋一方林语苑,1室1厅1卫,66㎡,东北,低楼层/18层,有,4300
丰台,梅源里小区,2室2厅1卫,69㎡,东南,低楼层/6层,有,3800
海淀,恩济里小区,1室1厅1卫,47㎡,南,高楼层/6层,无,4500
朝阳,绿岛苑东区,2室1厅1卫,61㎡,南北,中楼层/6层,无,5100
顺义,义宾南区,2室1厅1卫,61㎡,南北,高楼层/6层,无,3100
房山,良乡西路甲7号,2室1厅1卫,92㎡,南北,高楼层/6层,有,2600
东城,民旺园,2室1厅1卫,41㎡,东西,中楼层/5层,无,5500
顺义,建新北区,3室1厅1卫,49㎡,南北,低楼层/5层,无,3000
丰台,南苑北里二区,1室1厅1卫,56㎡,东南,高楼层/6层,无,3200
石景山,古城路小区,1室1厅1卫,30㎡,南,中楼层/4层,无,3000
朝阳,京通苑,1室1厅1卫,63㎡,东南,高楼层/24层,有,4500
海淀,玉海园五里,1室1厅1卫,45㎡,南,高楼层/6层,无,4500
大兴,隆盛园,2室1厅1卫,86㎡,南北,中楼层/5层,无,2500
朝阳,北平里,3室1厅1卫,84㎡,南北,中楼层/6层,无,3100
门头沟,三家店新河路,2室1厅1卫,56㎡,南,高楼层/5层,无,2500
石景山,天翠阳光新城,1室1厅1卫,56㎡,南北,高楼层/8层,无,3000
顺义,石园东区,1室1厅1卫,63㎡,南北,低楼层/6层,无,3000
朝阳,海棠公社,1室1厅1卫,54㎡,西北,中楼层/20层,有,3800
通州,中泽家园,1室1厅1卫,57㎡,南,低楼层/6层,无,2700
朝阳,东方郁金香,1房间1卫,41㎡,北,中楼层/14层,有,4200
大兴,天恒旭辉7号院,3房间1卫,37㎡,西,中楼层/7层,有,2100
顺义,金地未未来,1室1厅1卫,42㎡,东,低楼层/10层,有,3000
昌平,北街家园六区,1室0厅1卫,29㎡,西,高楼层/18层,有,2400
东城,城市亮点,1室1厅1卫,47㎡,西,低楼层/12层,有,4350
顺义,炫立方,2房间1卫,46㎡,西,低楼层/15层,有,3000
顺义,首开中晟广场,2房间1卫,42㎡,南,中楼层/10层,有,2800
东城,天坛东路64号,2室1厅1卫,51㎡,东,高楼层/6层,无,4800
房山,加州水郡四期,1室1厅1卫,58㎡,南,低楼层/14层,有,2600
亦庄开发区,南海雅苑北区,2室1厅1卫,74㎡,东西,低楼层/22层,无,3800
朝阳,北京新天地二期,1室1厅1卫,62㎡,北,低楼层/28层,有,4800
顺义,仓上小区,2室1厅1卫,62㎡,南北,高楼层/6层,无,3100
亦庄开发区,棠颂雅苑,2室1厅1卫,80㎡,东西,低楼层/22层,有,4000
大兴,鹿海园三里,1室1厅1卫,59㎡,南北,高楼层/6层,无,3100
朝阳,光辉里小区,2室1厅0卫,47㎡,南,高楼层/4层,无,5000
亦庄开发区,国融国际,1室0厅1卫,43㎡,西,高楼层/21层,有,3800
房山,北关东路社区,2室1厅1卫,50㎡,南,中楼层/5层,无,2300
朝阳,周井大院,1室1厅1卫,45㎡,南,低楼层/5层,无,4500
朝阳,青荷里南山园,2室1厅1卫,86㎡,南北,低楼层/31层,有,4600
朝阳,东泽园,3室1厅1卫,90㎡,南西北,中楼层/21层,有,4500
丰台,六营门小区,2室1厅1卫,58㎡,南北,高楼层/6层,无,3200
丰台,新华街一里,1室1厅1卫,40㎡,南,中楼层/6层,无,3300
顺义,首创派尚国际,1室1厅1卫,42㎡,南,中楼层/11层,有,2600
朝阳,安慧北里逸园,2室1厅1卫,60㎡,南,中楼层/6层,无,5000
西城,,1室0厅1卫,29㎡,南,低楼层/20层,有,3900
朝阳,酒仙桥十街坊,2室1厅1卫,50㎡,南,低楼层/6层,无,5000
海淀,北分厂,2室1厅1卫,50㎡,南,低楼层/3层,无,4200
大兴,龙熙顺景,2室1厅2卫,125㎡,东西,低楼层/12层,有,2500
昌平,温泉花园A区,2室1厅1卫,65㎡,南北,低楼层/5层,无,2999
顺义,馨港庄园三区,1室1厅1卫,68㎡,南,高楼层/6层,无,2700
海淀,西六砖瓦厂家属楼,2室1厅1卫,56㎡,南,中楼层/5层,无,4500
朝阳,单店西村,2室1厅1卫,56㎡,南北,高楼层/5层,无,4200
门头沟,新桥南大街,2室1厅1卫,55㎡,南北,中楼层/6层,无,2500
通州,疃里庄园,3室1厅1卫,105㎡,南北,高楼层/6层,无,2900
顺义,石园北区,2室1厅1卫,72㎡,南北,低楼层/6层,无,3000
朝阳,金隅悦和园,1室1厅1卫,61㎡,东,高楼层/28层,有,4200
朝阳,周庄嘉园南里,2室1厅1卫,57㎡,西,中楼层/5层,无,5000
海淀,温泉路45号院,2室1厅1卫,75㎡,南北,中楼层/6层,无,4500
房山,昊天温泉家园,2室2厅2卫,93㎡,南北,高楼层/6层,无,2300
朝阳,绿丰家园,2室2厅1卫,90㎡,南北,高楼层/6层,无,4500
朝阳,首都机场南路西里,2室1厅1卫,60㎡,南北,中楼层/5层,无,3500
顺义,龙湖大名居,2室1厅1卫,88㎡,西南北,中楼层/8层,有,3000
门头沟,门头沟月季园,1室1厅1卫,64㎡,南,中楼层/6层,无,2300
大兴,新兴家园,2室1厅1卫,90㎡,南北,低楼层/10层,有,2800
昌平,冠雅苑,2室1厅1卫,73㎡,南北,高楼层/6层,无,3000
顺义,马坡花园一区,2室1厅1卫,77㎡,南北,高楼层/6层,无,2900
朝阳,广播大院,2室1厅1卫,59㎡,南北,高楼层/6层,无,3500
朝阳,南平里,1室1厅1卫,57㎡,南北,低楼层/6层,无,3300
通州,新潮嘉园一期,1室1厅1卫,60㎡,南,低楼层/6层,无,2700
石景山,广宁村,2室1厅1卫,62㎡,南北,高楼层/6层,无,3000
门头沟,门头沟月季园,1室1厅1卫,64㎡,南,中楼层/6层,无,2300
房山,金鑫苑,4室2厅2卫,139㎡,南北,高楼层/6层,无,2500
通州,首开缇香郡二期,2室1厅1卫,82㎡,南北,中楼层/11层,无,2700
石景山,广宁村,2室1厅1卫,59㎡,南北,中楼层/6层,无,3300
丰台,鑫融皓月,1室1厅1卫,65㎡,南北,中楼层/6层,无,3500
门头沟,新桥南大街,2室1厅1卫,55㎡,南,中楼层/6层,无,2500
朝阳,绿丰家园,2室2厅1卫,90㎡,南北,高楼层/6层,无,4500
房山,昊天大街17号院,2室1厅1卫,57㎡,东,中楼层/5层,无,2000
房山,昊天温泉家园,2室2厅2卫,93㎡,南北,高楼层/6层,无,2300
朝阳,首都机场南路西里,2室1厅1卫,60㎡,南北,中楼层/5层,无,3500
房山,行宫园一里,2室1厅1卫,72㎡,南北,高楼层/6层,无,2400
顺义,馨港庄园三区,1室1厅1卫,66㎡,西南,高楼层/6层,无,2800
顺义,裕龙一区,3室1厅1卫,86㎡,南北,中楼层/6层,无,3000
丰台,崔村一里,2室1厅1卫,61㎡,南北,高楼层/5层,无,2700
朝阳,南平里,2室1厅1卫,64㎡,东南北,高楼层/5层,无,3200
朝阳,世豪花园,2室1厅1卫,71㎡,南北,低楼层/2层,无,4500
石景山,天翠阳光新城,1室1厅1卫,56㎡,南,低楼层/16层,有,2800
顺义,马坡花园一区,1室1厅1卫,63㎡,南,中楼层/6层,无,2800
顺义,港馨家园东区,2室1厅1卫,75㎡,南北,高楼层/6层,无,3000
昌平,滤纸厂宿舍楼,2室2厅1卫,59㎡,南北,低楼层/2层,无,2000
房山,昊天大街17号院,2室1厅1卫,56㎡,南北,高楼层/5层,无,2000
通州,西营后街,2室1厅1卫,60㎡,南北,高楼层/5层,无,2600
朝阳,鸿博家园六区,1室1厅1卫,59㎡,南北,高楼层/6层,无,4200
海淀,温泉路45号院,2室1厅1卫,75㎡,南北,中楼层/6层,无,4500
顺义,水色时光五区,2室1厅1卫,101㎡,南,高楼层/11层,有,2800
昌平,滤纸厂宿舍楼,2室2厅1卫,59㎡,南北,低楼层/2层,无,2000
昌平,西湖新村,1室1厅1卫,55㎡,南,中楼层/7层,无,3000
顺义,港馨家园东区,2室1厅1卫,75㎡,南北,高楼层/6层,无,3000
顺义,新马家园,1室1厅1卫,65㎡,南,中楼层/28层,有,2500
昌平,典雅庄园,1室1厅1卫,65㎡,南,低楼层/10层,有,2600
大兴,众美MIMO公馆,2房间1卫,54㎡,南,中楼层/5层,有,2500
朝阳,东泽园,2室1厅1卫,76㎡,南北,低楼层/21层,有,5000
海淀,常秀家园,2室1厅1卫,63㎡,南北,地下室/6层,无,3400
大兴,御园D区,1室1厅1卫,55㎡,南,低楼层/15层,有,2500
海淀,上庄家园东区,2室1厅1卫,68㎡,南北,高楼层/6层,无,4300
朝阳,康静里,2室1厅1卫,58㎡,南北,低楼层/6层,无,4200
朝阳,南平里,2室1厅1卫,56㎡,南北,高楼层/6层,无,3600
房山,碧桂园小区二区,1室1厅1卫,57㎡,南,中楼层/6层,无,2500
朝阳,金隅悦和园,1室1厅1卫,61㎡,东,低楼层/28层,有,4200
亦庄开发区,一世情园,2室1厅2卫,118㎡,南北,中楼层/5层,无,4000
大兴,首地浣溪谷,2室1厅1卫,83㎡,南北,中楼层/8层,有,2500
丰台,建设三里,2室1厅1卫,60㎡,南北,中楼层/6层,无,2900
朝阳,双桥六号井,2室1厅1卫,60㎡,南北,中楼层/6层,无,4000
